uniprot_id,median_tm,n_datasets
A1A4Z1_IQUB,37.71,1
F8W1I6_DCTN2,37.82,1
H0YIS4_PPP1R12A,37.94,1
Q9UNM6-2_PSMD13,39.01,1
H7C3Y4_ASCC2,39.24,1
HYPOTHETICAL PROTEIN XP_296975.,39.62,1
E7EV93_PCM1,39.78,1
ZNF783,39.8,1
C9JD84_LTBP1,40.17,1
FOXP4,40.33,2
G3V2H2_KLHDC2,40.34,2
Q7Z403-2_TMC6,40.54,1
P20292_ALOX5AP,40.77,1
E7EXA8_PRB4,40.81,1
C9JZE9_CPA5,40.89,1
J3KNM5_YAF2,40.9,1
TP63,40.94,2
O75525_KHDRBS3,40.98,1
Q8TAB5_C1orf216,41.06,1
TNS4,41.15,2
Q8N1N4_KRT78,41.17,1
Q9Y535-2_POLR3H,41.29,1
F8W6M3_ZDHHC3,41.29,1
COX6C,41.47,1
E2F8,41.47,1
Q8NG06_TRIM58,41.54,1
MNX1,41.58,2
F5H539_TDG,41.6,3
PROX1,41.68,6
MYO7B,41.71,3
CASC5,41.86,21
BLK,41.98,2
NFKBIL2,41.99,13
DNTT,42.02,7
CDC7,42.11,5
LOC400986,42.11,1
J3KNF3_TET3,42.14,1
MAPRE2,42.14,33
M0QYI1_PNKP,42.15,1
Q9BYV9_BACH2,42.22,1
DUSP10,42.23,2
FAM33A,42.24,17
F8WDT5_SAMD1,42.25,1
H0YAX6_UBXN2B,42.26,1
NAB2,42.28,17
PIAS1,42.3,9
LOC730032,42.31,2
H7C1W2_IDH3G,42.35,2
O60733-2_PLA2G6,42.35,1
K7EQH8_ZNHIT3,42.36,1
B7WNT5_TCF7,42.36,2
Q96BW9_TAMM41,42.41,1
ANKLE2,42.41,28
E7EMQ9_ARMC5,42.43,1
P29692-4_EEF1D,42.44,1
C4ORF23,42.45,5
Q5JYC0_C20orf112,42.46,1
E9PH99_ZNF451,42.5,2
ESF1,42.52,15
P14921_ETS1,42.55,2
P04053-2_DNTT,42.55,2
CDC25A,42.55,1
MLF2,42.56,25
BCL11B,42.58,2
C6ORF167,42.58,25
A6NF48_ZNF281,42.61,3
QSER1,42.61,13
H7C5R8_PARP14,42.66,5
O15226_NKRF,42.67,1
POF1B,42.7,2
Q5SWX9_TPR,42.72,1
Q96KR6_FAM210B,42.75,2
Q9UHB6-4_LIMA1,42.77,1
FAM83H,42.8,4
RNASEL,42.81,25
ELF2,42.81,10
ANKRD39,42.83,5
H3BRA4_BLOC1S6,42.85,1
TBX3,42.88,4
TRIM41,42.88,1
Q9Y483-2_MTF2,42.92,1
O94812-7_BAIAP3,42.93,1
TDG,42.94,5
P05112-2_IL4,42.95,1
Q9H040_SPRTN,42.95,1
DTX2,42.96,3
TIMELESS,42.97,31
H0Y948_MLLT4,42.98,1
Q6ZN19-3_ZNF841,42.99,1
PTPDC1,43.0,2
P43357_MAGEA3,43.01,2
C15ORF39,43.02,7
Q15742-2_NAB2,43.03,1
PRAME,43.05,13
FAM48A,43.06,4
TNK1,43.06,2
E5RHY3_C1orf213,43.07,1
PEG3,43.08,6
GPSM1,43.08,11
B4DXK0_DBF4,43.09,1
Q96C12-3_ARMC5,43.09,1
RASSF7,43.1,1
C18ORF24,43.11,14
ELK3,43.13,2
Q96DP5_MTFMT,43.14,1
ETS1,43.15,9
TP53,43.16,4
P04264_KRT1,43.16,5
Q6NXE6-2_ARMC6,43.19,11
RBM35B,43.2,8
IFIH1,43.21,7
F5H640_YY1AP1,43.22,2
Q15742-3_NAB2,43.22,6
O94906_PRPF6,43.22,2
RNASEH1,43.23,7
JRK,43.23,2
Q9P1U0_ZNRD1,43.23,2
XAB2,43.24,31
Q53EP0-2_FNDC3B,43.26,1
GCN1L1,43.26,33
B7ZBM3_FOXP4,43.28,2
Q92698_RAD54L,43.29,2
ANK1,43.29,11
NEIL3,43.31,4
G8JLC4_SMPD4,43.33,2
B4DVB0_OSBPL5,43.34,1
SCML2,43.34,13
C9JWI7_TACC3,43.35,1
C1ORF124,43.35,4
BRF1,43.35,17
ITK,43.35,9
FOXA2,43.36,6
PRPF6,43.36,30
TTK,43.37,29
O94906-2_PRPF6,43.38,4
Q2KHR3-2_QSER1,43.4,4
C9JAX3_ZNF467,43.4,1
PRR14,43.4,4
B4E1N1_ARMC6,43.41,6
Q86Y37-4_CACUL1,43.41,3
Q9HCK8-2_CHD8,43.41,4
ARID5B,43.41,2
POLM,43.42,4
J3KTL1_ZNF207,43.43,1
USP11,43.43,33
MAGEC1,43.43,8
O15013-7_ARHGEF10,43.44,1
C9K049_HMG20B,43.44,1
ARMC6,43.44,33
ZRANB3,43.45,4
ARHGAP23,43.45,2
Q5T0A6_DHDDS,43.46,1
GTF3C1,43.46,21
ZNF507,43.46,2
IFIT2,43.47,2
Q9UBC3-4_DNMT3B,43.48,4
Q8N3Z6-2_ZCCHC7,43.48,1
PLEKHG2,43.48,3
LATS1,43.5,18
G8JLP4_KIAA0430,43.51,2
Q9UPP1-4_PHF8,43.51,3
SKP2,43.51,21
TEC,43.52,6
MAGED2,43.52,33
RINL,43.53,15
PMS1,43.54,29
DIAPH3,43.55,20
RBM19,43.55,6
E7ERH3_TNS3,43.58,2
UBN2,43.59,8
RBM41,43.59,4
ABTB2,43.6,2
TRERF1,43.6,4
P11309-2_PIM1,43.61,1
CHD8,43.61,33
CHI3L2,43.61,7
P46100-6_ATRX,43.64,3
USP4,43.64,33
A1CF,43.64,6
SAMD9,43.65,23
DTX3L,43.65,13
NCOA2,43.65,19
F5H4D1_ADCY7,43.66,1
Q8WYK1_CNTNAP5,43.66,1
M0R045_PAPL,43.67,1
E9PM19_TYK2,43.69,3
MAGEA3,43.71,4
BEND3,43.72,12
Q53R41-2_FASTKD1,43.72,1
ZNF451,43.73,8
GNL3,43.74,21
Q8WVK7_SKA2,43.76,9
ABT1,43.77,6
PCGF6,43.78,2
Q96N16_JAKMIP1,43.78,2
CCDC21,43.78,31
DVL2,43.78,23
PHLDA1,43.8,6
RAPGEF6,43.8,33
GLI4,43.8,1
CMIP,43.81,27
MEMO1P,43.81,1
IP6K2,43.82,3
F8WBH3_ALDH16A1,43.83,1
NOM1,43.83,12
IRF2BP1,43.84,31
FGFR3,43.85,2
SNAPC3,43.85,3
RAD54L,43.86,4
K7EL76_KLC3,43.86,1
PAPOLG,43.86,15
PARP14,43.86,25
PLEKHA2,43.86,15
SPTBN2,43.88,21
C9JYE9_E2F5,43.89,1
F5GXF0_NR4A1,43.89,1
VCPIP1,43.89,33
CLP1,43.9,31
GTF2I,43.9,33
UHRF2,43.9,14
Q9Y4W2-2_LAS1L,43.91,4
KIAA0146,43.91,1
H3BQD2_METTL9,43.93,1
Q6PJG2_ELMSAN1,43.94,2
H0Y702_STIL,43.94,1
ACTR5,43.94,15
CDC2L1,43.95,27
GTF3C3,43.95,23
CHD7,43.97,11
PRC1,43.97,21
D6RID8_GTF2H2C,43.98,1
FMNL1,43.98,21
Q8IX90_SKA3,43.98,10
F5H853_DEF6,43.99,1
Q96L93-5_KIF16B,43.99,1
UTP6,43.99,21
SNAPC4,43.99,8
H7BXR8_ARHGAP19,44.0,2
ARHGAP19,44.0,6
MTR,44.01,33
C9J8T0_EEFSEC,44.02,1
MEN1,44.02,19
MLH1,44.02,33
GRAP,44.03,3
Q9H147_DNTTIP1,44.04,3
FANCL,44.04,2
ACTR8,44.05,17
Q9UKW4_VAV3,44.05,2
Q86TG7_PEG10,44.06,2
RAD54L2,44.06,25
SND1,44.06,33
MIER3,44.06,3
Q08881_ITK,44.06,2
Q9UH92-3_MLX,44.07,1
H3BT44_SPNS1,44.08,1
TARDBP,44.08,29
C11ORF30,44.08,2
Q8WWK9-5_CKAP2,44.09,2
C9J5V9_YBX1,44.09,3
DCUN1D5,44.09,25
RCOR2,44.09,8
K7ENH3_PIK3C3,44.11,1
Q8NEC7-3_GSTCD,44.11,1
F8VXG3_TGIF1,44.11,1
Q53EP0_FNDC3B,44.11,2
ANKRD27,44.13,18
A6NHV6_PKMYT1,44.14,1
J3KQ45_TGOLN2,44.14,1
ARID3A,44.14,23
KIF15,44.14,31
ZKSCAN1,44.14,15
PCBP4,44.14,6
Q13309-2_SKP2,44.15,4
G3V4M9_ITPK1,44.15,1
ABCF3,44.15,33
BAZ1A,44.15,17
NR3C1,44.15,31
ARID3B,44.15,12
UBXN6,44.15,20
ZNF704,44.16,2
Q9H0X9-2_OSBPL5,44.16,1
HEATR2,44.16,33
UHRF1,44.16,21
ASAP3,44.16,12
P32519-2_ELF1,44.17,12
Q9H633-3_RPP21,44.18,3
TFIP11,44.18,23
PDCD2,44.18,13
F6RU81_ELMSAN1,44.18,2
E9PKN0_PCF11,44.19,1
D6RFJ6_ATR,44.19,1
Q9HC98_NEK6,44.19,1
DGKH,44.19,7
P49916-2_LIG3,44.2,1
CEP55,44.2,19
O95466-2_FMNL1,44.22,5
CHTF18,44.22,25
HDLBP,44.22,33
PHF12,44.22,2
ZNF654,44.22,7
FBXL3,44.22,4
B4E3L3_USP28,44.23,2
HIRA,44.23,14
RHOXF2,44.23,6
CYTH4,44.23,2
Q14781_CBX2,44.23,3
IRAK1,44.23,29
MYST1,44.24,31
DLST,44.24,1
ELL2,44.25,4
G8JL98_TDG,44.25,7
JAKMIP1,44.25,7
F5GZT2_SPAG5,44.26,1
OTUD1,44.26,2
Q86YV0_RASAL3,44.26,2
ZNF280B,44.26,2
ANKHD1-EIF4EBP3,44.27,33
PARD6G,44.27,1
Q9BQ15-2_NABP2,44.27,2
P16157-5_ANK1,44.29,2
PCF11,44.29,25
NAV1,44.3,16
Q5UIP0_RIF1,44.3,2
C9J167_PMS2,44.3,2
O15091-4_KIAA0391,44.31,5
Q8N1G0_ZNF687,44.31,2
ADNP2,44.31,12
FOXP1,44.33,14
E5KLK1_OPA1,44.33,1
F8W898_POLR1B,44.33,1
Q92616_GCN1L1,44.34,22
HSPB1,44.34,27
SLU7,44.34,14
APOC1,44.34,2
PHF8,44.34,10
ALS2CL,44.35,2
DNAJC2,44.35,33
K7EJE6_FMNL1,44.36,1
DNTTIP1,44.36,14
RASGRP2,44.36,13
TCF7,44.36,2
LIN52,44.36,6
A6NDA1_HAUS7,44.37,1
NAT9,44.37,3
NDC80,44.38,31
UACA,44.38,16
WRN,44.38,12
Q16654_PDK4,44.39,2
JMY,44.39,15
ANP32E,44.4,33
CHD6,44.4,4
ARID4A,44.41,8
O43597_SPRY2,44.41,1
Q8IZ40_RCOR2,44.41,4
CHD1,44.41,17
RASGRP1,44.41,5
RBM34,44.42,2
DSCC1,44.42,27
B7Z3T9_LZTR1,44.43,3
C7ORF27,44.43,33
RAD54B,44.43,11
NKRF,44.44,12
Q8WXE9_STON2,44.44,2
ARHGAP26,44.45,13
RNF219,44.45,13
J3KND3_MYL6,44.46,1
KIF4A,44.46,31
SMARCAL1,44.46,27
LOC27320,44.47,4
F8VP00_PFKM,44.47,1
CD2BP2,44.47,25
NUF2,44.47,27
ORC6L,44.47,15
Q86U86-5_PBRM1,44.48,4
ZFPM1,44.48,12
Q3MIN7_RGL3,44.48,1
AACS,44.48,33
ANKRD16,44.48,15
SH2D2A,44.48,3
FANCE,44.48,4
TGIF2,44.48,4
MYLK3,44.48,4
DUSP9,44.48,12
O95475_SIX6,44.49,2
B4DSJ0_TOP3A,44.49,1
Q96G30_MRAP2,44.49,1
B5MCT9_STXBP4,44.49,3
MLH3,44.5,2
FOXA1,44.5,6
E9PSF3_BRPF3,44.5,1
Q5SY16_NOL9,44.5,5
Q5JU21_FPGS,44.5,4
Q9ULX6-2_AKAP8L,44.5,4
FHOD1,44.51,33
CABIN1,44.51,9
MYB,44.52,6
B4DNX9_ZNF460,44.52,3
A6NFQ2-3_FAM115C,44.53,5
E9PAM6_PCDH19,44.53,1
Q7Z4L5_TTC21B,44.53,1
E9PEC4_CCM2,44.53,1
I3L4J3_KANSL1,44.53,2
CWC22,44.53,33
CCHCR1,44.53,1
Q13516_OLIG2,44.53,2
BANP,44.53,2
P30038-2_ALDH4A1,44.54,1
EXOSC10,44.54,19
RP3-402G11 5,44.55,27
CTAGE6,44.55,2
ZNF813,44.55,2
Q8NG31-3_CASC5,44.55,2
Q5T6S3_PHF19,44.55,2
SFRS14,44.55,16
FIGNL1,44.56,23
KPNA2,44.56,31
NEK4,44.56,9
BTK,44.57,15
ID3,44.57,3
TRIM27,44.58,10
R4GN43_NDUFA6,44.58,2
HMG20B,44.58,18
E9PM04_DCUN1D5,44.59,1
EYA3,44.59,31
RPS6KA4,44.59,17
F5GX28_KDM4B,44.6,4
B9A060_MAGEA2B,44.6,1
Q8WYQ0_PEX6,44.6,1
CDC25C,44.6,23
GFM2,44.6,31
POLK,44.6,5
B8ZZS2_NAB1,44.61,2
E9PR44_CRYAB,44.61,2
MYC,44.62,2
Q96BD8_SKA1,44.62,2
Q15555-4_MAPRE2,44.62,10
AHR,44.62,10
POLL,44.63,2
ZAP70,44.63,9
Q96JH7_VCPIP1,44.64,16
GRB7,44.64,8
BMPR1A,44.64,2
CASZ1,44.64,2
MTIF2,44.64,33
PARP9,44.64,17
CLK1,44.64,2
Q01167-2_FOXK2,44.65,3
H3BRH4_EEF2K,44.66,1
CXXC1,44.66,25
RAD18,44.66,25
SOX4,44.66,5
TCEB3,44.66,23
HOMEZ,44.66,2
SH2B3,44.66,8
Q9H0W5_CCDC8,44.67,2
ARMC9,44.67,19
STXBP4,44.67,23
ZNHIT6,44.67,19
KIAA1958,44.67,1
RUFY2,44.67,16
F5H2H5_ANKLE2,44.68,17
POLE,44.68,31
A8MTH3_HUMAN,44.68,2
Q86UY6_NAA40,44.69,6
H0Y8T0_NAA11,44.69,1
CORO7,44.69,33
RGL2,44.69,18
KIAA1530,44.69,5
C13ORF3,44.7,25
O75151_PHF2,44.71,3
Q13748_TUBA3C,44.72,1
GGA2,44.72,29
PDXDC1,44.72,33
ZBTB33,44.72,15
TNS3,44.72,12
H3BTQ7_ORC6,44.73,2
PELO,44.73,33
RMI1,44.73,13
CDCA4,44.73,3
E9PIY1_PACSIN3,44.74,2
ZNF318,44.74,12
Q9UNF1_MAGED2,44.74,17
F8W850_ACAP3,44.74,1
Q9BUB4-2_ADAT1,44.74,1
C1ORF112,44.74,23
MRPL1,44.75,29
SFMBT2,44.75,2
ELK1,44.75,2
O95835_LATS1,44.76,7
B4E0K5_MAPK14,44.76,1
H0YF22_RCOR3,44.76,1
Q9NQ75-2_CASS4,44.77,2
Q9NS87_KIF15,44.77,8
SCIN,44.77,10
CBX2,44.77,2
MAGED4,44.77,2
RAD17,44.77,19
RALBP1,44.77,29
GIGYF1,44.77,12
LIN54,44.77,15
MIG12,44.77,15
Q9HD64_XAGE1A,44.77,4
H7BYM2_ATG4A,44.78,1
Q86WJ1_CHD1L,44.78,4
ARHGAP15,44.78,21
CDT1,44.78,7
TSAP1_HUMAN,44.78,13
IQGAP3,44.78,22
MYBL2,44.78,4
TSHZ1,44.78,2
Q96AV8-3_E2F7,44.79,1
K7ER16_FARSA,44.79,1
PCMTD1,44.79,2
BRMS1L,44.8,10
Q8N653_LZTR1,44.8,5
B5MCN0_ATL2,44.8,1
Q12800_TFCP2,44.8,1
GCC1,44.8,29
GRLF1,44.8,33
KIF20B,44.8,14
LRCH3,44.8,27
RIN2,44.8,4
Q8IY22_CMIP,44.81,7
ATRX,44.81,19
EIF4G2,44.81,33
SNX3,44.81,33
ZBTB40,44.81,14
ZGPAT,44.81,25
DVL1,44.81,8
GON4L,44.81,4
ASB3,44.82,5
PCGF5,44.83,4
H3BS99_ZNF106,44.83,1
HOXA10,44.83,2
ISY1,44.83,27
MATR3,44.83,25
NOSIP,44.83,33
RRP1,44.83,16
ZBTB11,44.84,4
PLEKHA1,44.84,15
VAV3,44.84,13
CDC73,44.85,33
NFKB2,44.85,33
UBN1,44.86,2
NGEF,44.86,6
COG5,44.86,33
GOPC,44.86,33
SPAG5,44.86,29
DEF6,44.86,29
KLHL5,44.86,2
TNFAIP2,44.86,12
GAB2,44.87,12
ZNF195,44.87,2
E7EWM1_NCOA2,44.87,1
PUS1,44.87,33
ERICH1,44.87,11
ROD1,44.87,21
C1ORF83,44.87,4
C21ORF66,44.88,21
JAK3,44.88,13
O60701-2_UGDH,44.89,1
NR1H2,44.89,4
WEE1,44.89,19
C4ORF27,44.9,33
CTNNBL1,44.9,33
MYD88,44.9,33
Q9H4L5_OSBPL3,44.91,4
MGA,44.91,12
Q9UNS1-2_TIMELESS,44.91,14
Q9NPI8_FANCF,44.91,1
TGS1,44.91,25
ARHGAP6,44.91,8
Q96MN5_TCEANC2,44.92,1
CHD1L,44.92,33
MYO10,44.92,4
C9ORF103,44.92,2
Q9NYH9_UTP6,44.93,9
USP10,44.93,29
CLK3,44.94,2
TADA2L,44.94,4
BCAR3,44.94,4
P42680_TEC,44.94,7
C9JE69_METTL8,44.94,1
JMJD2B,44.94,17
TRIP12,44.94,29
USP28,44.94,33
NEK6,44.94,7
USP18,44.94,1
J3KPQ4_ARHGAP9,44.95,2
Q8TF46_DIS3L,44.95,3
K7EPW0_SKA1,44.95,2
Q8IVS8_GLYCTK,44.95,5
CTR9,44.95,29
PAF1,44.95,33
TH1L,44.95,33
THAP11,44.95,11
Q8WVB6_CHTF18,44.96,6
HSF1,44.96,33
GAS2L1,44.96,9
Q9H9A5-5_CNOT10,44.97,2
RBM5,44.97,16
PKP3,44.97,16
ZNF93,44.97,4
CSDE1,44.97,33
ERCC6L,44.97,31
PBRM1,44.97,15
PES1,44.97,33
AMMECR1,44.97,11
GCKR,44.97,6
PIAS4,44.97,21
EIF2AK2,44.98,21
ETV6,44.98,6
TRIB3,44.98,2
Q9P2K5_MYEF2,44.99,2
NKIRAS1,44.99,8
RANBP2,44.99,33
FSD1L,44.99,9
USP37,44.99,9
CBFA2T3,44.99,8
Q13148_TARDBP,45.0,22
Q13671_RIN1,45.0,4
H0Y882_FOXP1,45.0,2
AS3MT,45.0,9
DNAJB1,45.0,33
ELF1,45.0,27
TOMM34,45.0,33
ESCO2,45.0,2
FAM152B,45.0,7
SNAPC2,45.0,2
COG6,45.01,33
TEAD3,45.01,8
WHSC2,45.01,27
E7EPP7_STXBP4,45.01,8
Q53EZ4-2_CEP55,45.01,2
FBXL15,45.02,6
DDX41,45.02,31
INO80C,45.02,5
BCL11A,45.02,2
B7Z207_PDK1,45.03,1
KIAA0391,45.03,17
SCRIB,45.03,31
ZHX1,45.03,6
ZNHIT2,45.03,25
HNRNPH2,45.03,24
BOP1,45.04,31
FANCG,45.04,8
SIN3B,45.04,15
SNX33,45.04,14
F5H056_SLC3A2,45.05,1
H3BSR5_FANCA,45.05,1
Q8N9I9_DTX3,45.05,2
HICE1,45.05,13
PRR12,45.05,13
TRIP11,45.05,27
C13ORF23,45.05,7
GULP1,45.05,4
DGKK,45.06,6
C9JW69_RCC1,45.06,6
Q9NUQ8_ABCF3,45.06,10
Q9UK39_CCRN4L,45.06,5
SNX15,45.06,19
ZFP36L2,45.06,27
SDCCAG8,45.06,9
NPL,45.06,2
E5RIK9_MTERFD1,45.07,3
Q6PJP8_DCLRE1A,45.07,1
COG4,45.07,33
PLEKHM1,45.07,4
CENPK,45.08,6
Q86V21_AACS,45.08,16
C9J6W2_KIF20B,45.08,5
E9PI90_TMEM126A,45.08,1
PRPF40A,45.08,27
IRF9,45.08,4
TBPL2,45.08,2
G5E9U9_PARP12,45.09,1
E9PCM6_ARHGAP4,45.09,1
Q99996-4_AKAP9,45.09,2
BCR,45.09,33
NUB1,45.09,33
POLE2,45.09,17
F5H5Y3_SRP68,45.09,2
EVI1,45.09,2
K7EJR3_PSMD8,45.1,1
CDC45L,45.1,31
HDAC5,45.11,6
Q9Y2H6-2_FNDC3A,45.11,12
O60930_RNASEH1,45.11,4
AGFG2,45.11,23
KIAA1543,45.11,13
SNRNP48,45.11,2
O43663-2_PRC1,45.11,4
TSPYL1,45.11,6
B4DF64_HAUS3,45.12,6
KIAA1524,45.12,31
TRDMT1,45.12,11
ZHX2,45.12,15
Q6ZTQ3-4_RASSF6,45.12,2
Q8TDY4-2_ASAP3,45.13,2
Q9NSE2_CISH,45.13,2
Q8IY22-3_CMIP,45.13,7
CENPH,45.13,17
TREX2,45.13,19
WRNIP1,45.13,33
F8W108_ARID2,45.14,1
C4ORF15,45.14,27
DNMT3A,45.14,15
MIDEAS,45.14,2
Q86XN4_HUMAN,45.14,2
Q9HB19_PLEKHA2,45.14,10
Q86Y56_HEATR2,45.15,17
TTC28,45.15,17
CHN2,45.15,7
AKR1C1,45.16,14
H0YBR5_EIF3E,45.16,1
Q7L4E1-3_FAM73B,45.16,2
STAT1,45.16,33
ZNF644,45.16,5
TEKT3,45.16,1
MSL2,45.16,2
USP35,45.16,2
EDD1,45.17,33
FAM50B,45.17,2
ARHGAP4,45.17,21
JMJD2C,45.17,4
MAGEA9,45.17,15
P49761-1_CLK3,45.18,1
EIF4G3,45.18,33
SOX13,45.18,8
J3KNW7_CCDC41,45.19,4
HNRNPM,45.19,33
RAVER1,45.19,33
TCP10L,45.19,33
UBTF,45.19,29
ZMYM2,45.19,31
UNC13D,45.19,31
B4DED4_HAGHL,45.2,1
I3L0I1_SOGA1,45.2,2
CCDC88B,45.2,13
LOC100133938,45.2,1
Q13472-2_TOP3A,45.21,3
Q9Y5N6_ORC6,45.21,8
ARHGEF6,45.21,23
FAM29A,45.21,31
ELF4,45.21,2
ATP6V1C2,45.21,1
Q14690_PDCD11,45.22,8
Q5QPK7_TRIT1,45.22,2
B4DJ07_EXOC7,45.22,3
K7EQB6_LIG3,45.22,1
O95251-2_KAT7,45.22,3
CHD4,45.22,33
KIF16B,45.22,11
LIG3,45.22,25
OSBPL3,45.22,33
WDR22,45.22,19
Q9H4E7_DEF6,45.23,9
DAXX,45.23,33
FOXK2,45.23,21
KAT2A,45.23,4
KIAA0226,45.23,4
RBM35A,45.23,2
F5H4R9_DNM2,45.24,1
PIK3CG,45.24,17
WDYHV1,45.24,3
FBXO44,45.24,1
CXORF57,45.24,4
Q7KZF4_SND1,45.25,22
B5MCT8_RPS9,45.25,1
F5GZT1_EXOC4,45.25,1
C11ORF46,45.25,17
NCOR1,45.25,33
SETD2,45.25,17
CCDC111,45.25,2
SNIP1,45.25,6
ZUFSP,45.26,2
F5H8J4_EIF4G3,45.26,1
Q8N9M1_C19orf47,45.26,2
SAP30,45.26,16
SETD6,45.27,2
Q9H4L5-2_OSBPL3,45.27,11
Q9BVP2-2_GNL3,45.27,7
GOLGA4,45.27,33
SYMPK,45.27,33
ZBED4,45.27,4
Q9Y223-2_GNE,45.27,2
Q14CZ7_FASTKD3,45.28,6
HPS3,45.28,29
STON2,45.28,14
TRMT5,45.28,31
SAMD1,45.28,8
H0Y4G9_MYD88,45.28,12
Q9UJU2_LEF1,45.28,2
ZNF829,45.28,2
Q9NX09_DDIT4,45.29,4
J3KNE0_RGPD3,45.29,6
C9JYD0_PCGF3,45.29,2
Q8IWR0_ZC3H7A,45.29,7
MORC2,45.29,25
RHOH,45.29,2
SYNE2,45.3,22
CXORF48,45.3,8
NLRP2,45.3,6
G5E975_SMARCB1,45.3,7
F5H7K2_MGA,45.3,4
K7EKL8_ICAM1,45.3,1
PDS5A,45.3,33
E7EMD6_AKAP10,45.31,7
FKBP5,45.31,33
MAD1L1,45.31,33
ZMYM4,45.31,14
EEF2K,45.31,31
VAV1,45.31,21
APPL2,45.31,20
H0Y6F2_PRR5,45.32,1
Q86V15_CASZ1,45.32,1
SETD1B,45.32,2
A6NHR9-2_SMCHD1,45.33,1
P58557-4_YBEY,45.33,2
AKAP8L,45.33,33
OSBPL2,45.33,33
TRIM47,45.33,10
APBA2,45.33,9
O95466_FMNL1,45.34,5
Q86WJ1-3_CHD1L,45.34,1
B4E0T2_PEX5,45.34,13
RBM15,45.34,16
PSD4,45.34,23
MKRNP5,45.34,1
Q5T1N9_GPSM2,45.34,2
G3V167_PARP2,45.35,6
K7EJD2_CTDP1,45.35,1
K7EK06_FARSA,45.35,1
INO80,45.35,12
Q92614-2_MYO18A,45.36,2
OTX1,45.36,2
Q01780-2_EXOSC10,45.36,11
J3QRU8_GIT1,45.36,3
B4DRV7_VDR,45.36,1
YEATS2,45.36,14
PTPN7,45.36,21
ZNF324B,45.36,1
Q92830_KAT2A,45.37,3
HOOK2,45.37,15
SASS6,45.37,27
SHCBP1,45.37,31
MBD4,45.37,4
RASSF4,45.37,10
PATZ1,45.37,4
BCOR,45.38,6
Q99504-2_EYA3,45.38,13
PMS2,45.38,25
ANKRD10,45.38,17
Q8WXW3_PIBF1,45.38,8
RIPK4,45.38,2
INTS1,45.39,18
F8W9B5_PRC1,45.39,1
AQR,45.39,33
BRD4,45.39,24
ZFHX3,45.39,8
ZNF407,45.39,7
AFF2,45.39,2
ASNSD1,45.39,13
Q6MZP7-2_LIN54,45.39,2
SAP30L,45.39,6
Q9UHR6_ZNHIT2,45.4,12
O14646-2_CHD1,45.4,8
E9PKP7_UBTF,45.4,5
C9JV54_TTC32,45.4,1
APBA3,45.4,15
DUSP6,45.4,10
RBP2,45.4,2
PHLDA3,45.41,2
Q7L3V2_BOP,45.41,3
E7ESC7_MAEA,45.41,1
H0Y8G9_HERC3,45.41,2
INTS12,45.41,16
IQSEC1,45.41,23
PARP10,45.41,21
PHLDA2,45.41,2
NAB1,45.41,2
ARAP1,45.42,33
SETX,45.42,17
SON,45.42,17
LIN9,45.42,7
RPS6KB2,45.42,15
IKZF2,45.42,1
Q8TF46-2_DIS3L,45.43,4
J3QQY2_TMCO1,45.43,1
DNAJB6,45.43,27
FAM111B,45.43,7
YARS2,45.43,33
TRIT1,45.43,17
MDM2,45.43,1
Q8N9M1-3_C19orf47,45.44,2
TAF1,45.44,12
ERCC6,45.44,4
PPIG,45.44,14
RXRB,45.44,25
STK17A,45.44,7
FAM115C,45.44,8
PHC3,45.44,4
SPI1,45.45,4
K7EID2_ALG1,45.45,1
ARID2,45.45,17
C14ORF21,45.45,17
NCKIPSD,45.45,33
POU3F2,45.45,2
QRICH1,45.45,33
TELO2,45.45,33
POLI,45.45,3
Q6STE5-2_SMARCD3,45.46,5
Q9UI36-2_DACH1,45.46,2
RBM45,45.46,14
RRP12,45.46,17
O15371_EIF3D,45.47,2
DCDC2,45.47,8
Q9BZV1_UBXN6,45.47,3
H0YC02_HMBOX1,45.47,2
K7EQR1_UBN1,45.47,1
C14ORF102,45.47,17
FER,45.47,25
HNRNPA0,45.47,29
TTLL12,45.47,33
XPA,45.47,11
C19ORF47,45.48,2
ADNP,45.48,27
HSPA14,45.48,33
SH3GL3,45.48,9
SMCHD1,45.48,27
USP48,45.48,33
LOC727877,45.48,3
Q99856_ARID3A,45.48,12
Q86WJ1-4_CHD1L,45.48,2
BRMS1,45.49,8
Q16850-2_CYP51A1,45.49,3
Q9NZI7_UBP1,45.49,3
HELLS,45.49,27
NFATC1,45.49,9
RGS12,45.49,9
NAIF1,45.49,2
NPAT,45.49,2
E9PL17_CLP1,45.49,12
CTNND1,45.49,22
H3BVG0_NUP93,45.5,1
Q86U06-4_RBM23,45.5,4
NFRKB,45.5,11
SMARCA4,45.5,33
KIAA1712,45.5,19
SALL2,45.5,2
K7EK99_LIN37,45.51,5
ACSL4,45.51,29
C8ORF30A,45.51,31
COG7,45.51,29
LIN37,45.51,13
ZNF131,45.51,9
TRIM14,45.51,15
Q32P41_TRMT5,45.52,18
P16157-10_ANK1,45.52,6
O60861_GAS7,45.52,2
OBSL1,45.52,16
P30307_CDC25C,45.52,4
Q9NVX0-2_HAUS2,45.52,2
F5H4S8_NFATC1,45.52,5
COG2,45.52,33
SHQ1,45.52,21
ADAT1,45.52,11
UBXN8,45.53,2
B1AKJ6_OSBPL9,45.53,9
D6RB33_DCUN1D4,45.53,1
